Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1279411200,2010-07-18 0:00:00,2.67E-05,2.24E-05,2.44E-05,0.000233717,0.000196712,0.000214241
1279497600,2010-07-19 0:00:00,2.68E-05,2.26E-05,2.46E-05,0.000235075,0.000197855,0.000215486
1279584000,2010-07-20 0:00:00,2.72E-05,2.29E-05,2.50E-05,0.000238699,0.000200905,0.000218807
1279670400,2010-07-21 0:00:00,2.84E-05,2.39E-05,2.61E-05,0.000249343,0.000209864,0.000228565
1279756800,2010-07-22 0:00:00,2.82E-05,2.37E-05,2.59E-05,0.000247305,0.000208148,0.000226696
1279843200,2010-07-23 0:00:00,2.85E-05,2.40E-05,2.61E-05,0.000250023,0.000210436,0.000229187
1279929600,2010-07-24 0:00:00,2.86E-05,2.41E-05,2.62E-05,0.000250993,0.000211252,0.000230077
1280016000,2010-07-25 0:00:00,2.99E-05,2.52E-05,2.74E-05,0.000262446,0.000220892,0.000240575
1280102400,2010-07-26 0:00:00,3.15E-05,2.65E-05,2.88E-05,0.00027584,0.000232165,0.000252853
1280188800,2010-07-27 0:00:00,3.23E-05,2.72E-05,2.96E-05,0.000283516,0.000238626,0.000259889
1280275200,2010-07-28 0:00:00,3.25E-05,2.74E-05,2.98E-05,0.000284852,0.000239751,0.000261115
1280361600,2010-07-29 0:00:00,3.40E-05,2.86E-05,3.11E-05,0.000297691,0.000250556,0.000272883
1280448000,2010-07-30 0:00:00,3.51E-05,2.95E-05,3.22E-05,0.000307557,0.000258861,0.000281927
1280534400,2010-07-31 0:00:00,3.69E-05,3.11E-05,3.39E-05,0.000323878,0.000272597,0.000296888
1280620800,2010-08-01 0:00:00,3.90E-05,3.28E-05,3.57E-05,0.000341447,0.000287384,0.000312993
1280707200,2010-08-02 0:00:00,4.08E-05,3.43E-05,3.74E-05,0.000357469,0.00030087,0.00032768
1280793600,2010-08-03 0:00:00,4.27E-05,3.59E-05,3.91E-05,0.000373934,0.000314728,0.000342773
1280880000,2010-08-04 0:00:00,4.52E-05,3.80E-05,4.14E-05,0.000395869,0.000333189,0.00036288
1280966400,2010-08-05 0:00:00,4.68E-05,3.93E-05,4.29E-05,0.000409831,0.000344941,0.000375679
1281052800,2010-08-06 0:00:00,4.76E-05,4.01E-05,4.37E-05,0.000417659,0.00035153,0.000382854
1281139200,2010-08-07 0:00:00,4.83E-05,4.06E-05,4.42E-05,0.000423016,0.000356038,0.000387765
1281225600,2010-08-08 0:00:00,4.97E-05,4.18E-05,4.55E-05,0.00043554,0.00036658,0.000399245
1281312000,2010-08-09 0:00:00,5.06E-05,4.26E-05,4.64E-05,0.000443892,0.000373609,0.000406901
1281398400,2010-08-10 0:00:00,5.21E-05,4.38E-05,4.77E-05,0.000456538,0.000384253,0.000418493
1281484800,2010-08-11 0:00:00,5.49E-05,4.62E-05,5.03E-05,0.00048082,0.00040469,0.000440752
1281571200,2010-08-12 0:00:00,5.72E-05,4.82E-05,5.24E-05,0.000501566,0.000422152,0.000459769
1281657600,2010-08-13 0:00:00,6.01E-05,5.06E-05,5.51E-05,0.000527172,0.000443703,0.000483241
1281744000,2010-08-14 0:00:00,6.56E-05,5.52E-05,6.01E-05,0.000574617,0.000483636,0.000526733
1281830400,2010-08-15 0:00:00,6.69E-05,5.63E-05,6.14E-05,0.000586846,0.000493928,0.000537942
1281916800,2010-08-16 0:00:00,6.80E-05,5.72E-05,6.23E-05,0.000595742,0.000501416,0.000546097
1282003200,2010-08-17 0:00:00,6.78E-05,5.71E-05,6.22E-05,0.000594412,0.000500297,0.000544877
1282089600,2010-08-18 0:00:00,6.61E-05,5.56E-05,6.06E-05,0.000579455,0.000487708,0.000531167
1282176000,2010-08-19 0:00:00,6.52E-05,5.49E-05,5.98E-05,0.000571618,0.000481112,0.000523983
1282262400,2010-08-20 0:00:00,6.80E-05,5.73E-05,6.24E-05,0.000596273,0.000501863,0.000546583
1282348800,2010-08-21 0:00:00,6.68E-05,5.62E-05,6.12E-05,0.000585131,0.000492485,0.00053637
1282435200,2010-08-22 0:00:00,7.00E-05,5.90E-05,6.42E-05,0.000613979,0.000516765,0.000562814
1282521600,2010-08-23 0:00:00,7.42E-05,6.24E-05,6.80E-05,0.000650095,0.000547163,0.00059592
1282608000,2010-08-24 0:00:00,7.95E-05,6.69E-05,7.29E-05,0.000697156,0.000586773,0.00063906
1282694400,2010-08-25 0:00:00,8.47E-05,7.13E-05,7.77E-05,0.000742575,0.000625001,0.000680694
1282780800,2010-08-26 0:00:00,8.96E-05,7.54E-05,8.21E-05,0.000785287,0.00066095,0.000719847
1282867200,2010-08-27 0:00:00,9.05E-05,7.62E-05,8.30E-05,0.000793656,0.000667994,0.000727518
1282953600,2010-08-28 0:00:00,9.27E-05,7.80E-05,8.49E-05,0.000812303,0.000683688,0.000744611
1283040000,2010-08-29 0:00:00,9.17E-05,7.72E-05,8.41E-05,0.000804276,0.000676932,0.000737253
1283126400,2010-08-30 0:00:00,8.98E-05,7.56E-05,8.23E-05,0.000787036,0.000662422,0.000721449
1283212800,2010-08-31 0:00:00,9.04E-05,7.60E-05,8.28E-05,0.000792031,0.000666626,0.000726029
1283299200,2010-09-01 0:00:00,8.88E-05,7.47E-05,8.14E-05,0.000778482,0.000655223,0.000713609
1283385600,2010-09-02 0:00:00,8.74E-05,6.52E-05,7.56E-05,0.000765879,0.000571802,0.000662405
1283472000,2010-09-03 0:00:00,8.68E-05,5.60E-05,7.03E-05,0.000761213,0.000491327,0.000616444
1283558400,2010-09-04 0:00:00,8.77E-05,4.71E-05,6.58E-05,0.000768546,0.000413016,0.00057716
1283644800,2010-09-05 0:00:00,8.79E-05,3.85E-05,6.13E-05,0.000770545,0.000337685,0.000537054
1283731200,2010-09-06 0:00:00,8.86E-05,3.07E-05,5.73E-05,0.000776544,0.000268987,0.000502394
1283817600,2010-09-07 0:00:00,8.68E-05,2.06E-05,5.10E-05,0.000760547,0.000180842,0.000447062
1283904000,2010-09-08 0:00:00,8.89E-05,1.26E-05,4.76E-05,0.000779277,0.000110211,0.000417184
1283990400,2010-09-09 0:00:00,8.88E-05,1.26E-05,4.75E-05,0.000778198,0.000110058,0.000416607
1284076800,2010-09-10 0:00:00,9.17E-05,1.30E-05,4.91E-05,0.000803802,0.000113679,0.000430314
1284163200,2010-09-11 0:00:00,9.18E-05,1.30E-05,4.92E-05,0.000805115,0.000113865,0.000431017
1284249600,2010-09-12 0:00:00,9.47E-05,1.34E-05,5.07E-05,0.000830052,0.000117392,0.000444367
1284336000,2010-09-13 0:00:00,9.75E-05,1.38E-05,5.22E-05,0.000855082,0.000120932,0.000457766
1284422400,2010-09-14 0:00:00,0.000103031,1.46E-05,5.52E-05,0.00090317,0.000127733,0.00048351
1284508800,2010-09-15 0:00:00,0.000103652,1.47E-05,5.55E-05,0.000908612,0.000128502,0.000486423
1284595200,2010-09-16 0:00:00,0.000110956,1.57E-05,5.94E-05,0.000972641,0.000137558,0.000520702
1284681600,2010-09-17 0:00:00,0.000113652,1.61E-05,6.08E-05,0.000996271,0.0001409,0.000533352
1284768000,2010-09-18 0:00:00,0.000120347,1.70E-05,6.44E-05,0.001054965,0.000149201,0.000564774
1284854400,2010-09-19 0:00:00,0.000127855,1.81E-05,6.84E-05,0.001120775,0.000158508,0.000600005
1284940800,2010-09-20 0:00:00,0.000135712,1.92E-05,7.27E-05,0.001189653,0.000168249,0.000636878
1285027200,2010-09-21 0:00:00,0.000137316,1.94E-05,7.35E-05,0.001203715,0.000170238,0.000644406
1285113600,2010-09-22 0:00:00,0.000142101,2.01E-05,7.61E-05,0.001245657,0.000176169,0.00066686
1285200000,2010-09-23 0:00:00,0.000149255,2.11E-05,7.99E-05,0.001308369,0.000185039,0.000700433
1285286400,2010-09-24 0:00:00,0.000156694,2.22E-05,8.39E-05,0.001373578,0.000194261,0.000735342
1285372800,2010-09-25 0:00:00,0.00015926,2.25E-05,8.53E-05,0.001396072,0.000197442,0.000747384
1285459200,2010-09-26 0:00:00,0.000159312,2.25E-05,8.53E-05,0.001396529,0.000197507,0.000747629
1285545600,2010-09-27 0:00:00,0.000162223,2.29E-05,8.68E-05,0.001422046,0.000201116,0.00076129
1285632000,2010-09-28 0:00:00,0.00016851,2.38E-05,9.02E-05,0.001477161,0.00020891,0.000790795
1285718400,2010-09-29 0:00:00,0.000175409,2.48E-05,9.39E-05,0.001537636,0.000217463,0.000823171
1285804800,2010-09-30 0:00:00,0.000172696,2.44E-05,9.25E-05,0.001513849,0.000214099,0.000810436
1285891200,2010-10-01 0:00:00,0.00017194,2.43E-05,9.20E-05,0.00150723,0.000213163,0.000806893
1285977600,2010-10-02 0:00:00,0.000164851,2.33E-05,8.83E-05,0.001445081,0.000204373,0.000773621
1286064000,2010-10-03 0:00:00,0.000161523,2.28E-05,8.65E-05,0.001415914,0.000200248,0.000758007
1286150400,2010-10-04 0:00:00,0.000160496,2.27E-05,8.59E-05,0.001406904,0.000198974,0.000753183
1286236800,2010-10-05 0:00:00,0.000155219,2.20E-05,8.31E-05,0.001360648,0.000192432,0.00072842
1286323200,2010-10-06 0:00:00,0.000156345,2.21E-05,8.37E-05,0.001370519,0.000193828,0.000733705
1286409600,2010-10-07 0:00:00,0.000158597,2.24E-05,8.49E-05,0.001390259,0.00019662,0.000744272
1286496000,2010-10-08 0:00:00,0.000158597,2.24E-05,8.49E-05,0.001390259,0.00019662,0.000744272
1286582400,2010-10-09 0:00:00,0.000167926,2.37E-05,8.99E-05,0.001472038,0.000208186,0.000788053
1286668800,2010-10-10 0:00:00,0.000176933,2.50E-05,9.47E-05,0.001550999,0.000219353,0.000830324
1286755200,2010-10-11 0:00:00,0.000177899,2.52E-05,9.52E-05,0.001559459,0.000220549,0.000834853
1286841600,2010-10-12 0:00:00,0.000183439,2.59E-05,9.82E-05,0.001608028,0.000227419,0.000860855
1286928000,2010-10-13 0:00:00,0.000185518,2.62E-05,9.93E-05,0.001626249,0.000229995,0.000870609
1287014400,2010-10-14 0:00:00,0.00019424,2.75E-05,0.000103986,0.00170271,0.000240809,0.000911542
1287100800,2010-10-15 0:00:00,0.000199221,2.82E-05,0.000106653,0.001746375,0.000246985,0.000934918
1287187200,2010-10-16 0:00:00,0.000217174,3.07E-05,0.000116264,0.001903752,0.000269242,0.00101917
1287273600,2010-10-17 0:00:00,0.000233927,3.31E-05,0.000125233,0.002050608,0.000290011,0.001097789
1287360000,2010-10-18 0:00:00,0.000250207,3.54E-05,0.000133948,0.00219331,0.000310193,0.001174184
1287446400,2010-10-19 0:00:00,0.00026743,3.78E-05,0.000143168,0.00234429,0.000331546,0.001255011
1287532800,2010-10-20 0:00:00,0.000282222,3.99E-05,0.000151087,0.002473955,0.000349884,0.001324427
1287619200,2010-10-21 0:00:00,0.000292758,4.14E-05,0.000156728,0.00256632,0.000362947,0.001373875
1287705600,2010-10-22 0:00:00,0.000303375,4.29E-05,0.000162411,0.002659387,0.000376109,0.001423698
1287792000,2010-10-23 0:00:00,0.000305881,4.33E-05,0.000163753,0.002681357,0.000379216,0.001435459
1287878400,2010-10-24 0:00:00,0.000314235,4.44E-05,0.000168225,0.002754581,0.000389572,0.001474659
1287964800,2010-10-25 0:00:00,0.000325594,4.60E-05,0.000174306,0.002854154,0.000403654,0.001527966
1288051200,2010-10-26 0:00:00,0.000345737,4.89E-05,0.00018509,0.00303073,0.000428627,0.001622495
1288137600,2010-10-27 0:00:00,0.000357196,5.05E-05,0.000191224,0.003131179,0.000442833,0.00167627
1288224000,2010-10-28 0:00:00,0.000369608,5.23E-05,0.000197869,0.003239984,0.000458221,0.001734519
1288310400,2010-10-29 0:00:00,0.000387695,5.48E-05,0.000207552,0.003398535,0.000480644,0.001819399
